data;id;mois;jour;annee;numero_de_message;temperature_partie_entiere;temperature_partie_decimale;humidite;pluie_en_augets;direction_du_vecteur_moyen_de_vent;force_moyenne_du_vecteur_de_vent;pression_a_decoder;direction_du_vecteur_de_vent_max;force_du_vecteur_de_vent_max;pluie_la_plus_intense_durant_1_min;type_station;pluie_intensite_max;heure;annee_reelle;minute;pression;temperature_decodee;direction_du_vecteur_vent_moyen;type_de_station;pluie;direction_du_vecteur_de_vent_max_en_degres;force_moyenne_du_vecteur_vent;force_rafale_max;jour_mois;dd_mm_yy_utc;hh_mm_utc;dd_mm_yy_hh_mm;temperature_en_degre_c;false_message;dd_mm_yy_hh_mm_utc;heure_paris_dd_mm_yy_hh_mm;heure_de_paris;heure_utc
3f9c046e8ae809608e3a2800;31;12;28;0;35;58;2;93;0;150;4;113;13;10;0;0;0.0;8;2019;30;101300;8;300;ISS;0.0;292.5;4;10;28/12;28/12/2019;8:30;2019-12-28T08:30:00;8.2;10310307686400;2019-12-28T08:30:00+00:00;2019-12-28T08:30:00+01:00;2019-12-28T08:30:00+00:00;2019-12-28T08:30:00+00:00
3f9b09cecae009d02e5c1400;31;12;27;0;78;59;2;92;0;157;1;114;14;5;0;0;0.0;19;2019;15;101400;9;314;ISS;0.0;315.0;1;5;27/12;27/12/2019;19:15;2019-12-27T19:15:00;9.2;10789735633920;2019-12-27T19:15:00+00:00;2019-12-27T19:15:00+01:00;2019-12-27T19:15:00+00:00;2019-12-27T19:15:00+00:00
3f9b082f42a80940ae3a3400;31;12;27;0;65;61;0;85;0;148;5;113;13;13;0;0;0.0;16;2019;0;101300;11;296;ISS;0.0;292.5;5;13;27/12;27/12/2019;16:0;2019-12-27T16:00:00;11.0;10173405606912;2019-12-27T16:00:00+00:00;2019-12-27T16:00:00+01:00;2019-12-27T16:00:00+00:00;2019-12-27T16:00:00+00:00
3f9b04ad22f808702e381400;31;12;27;0;37;52;8;95;0;135;1;113;12;5;0;0;0.0;9;2019;0;101300;2;270;ISS;0.0;270.0;1;5;27/12;27/12/2019;9:0;2019-12-27T09:00:00;2.8;9277904786432;2019-12-27T09:00:00+00:00;2019-12-27T09:00:00+01:00;2019-12-27T09:00:00+00:00;2019-12-27T09:00:00+00:00
3f9b02acd6e801602e240c00;31;12;27;0;21;51;5;93;0;22;1;113;2;3;0;0;0.0;5;2019;0;101300;1;44;ISS;0.0;45.0;1;3;27/12;27/12/2019;5:0;2019-12-27T05:00:00;1.5;1512602602496;2019-12-27T05:00:00+00:00;2019-12-27T05:00:00+01:00;2019-12-27T05:00:00+00:00;2019-12-27T05:00:00+00:00
3f9b004d66e801602e240c00;31;12;27;0;2;53;9;93;0;22;1;113;2;3;0;0;0.0;0;2019;15;101300;3;44;ISS;0.0;45.0;1;3;27/12;27/12/2019;0:15;2019-12-27T00:15:00;3.9;1512602602496;2019-12-27T00:15:00+00:00;2019-12-27T00:15:00+01:00;2019-12-27T00:15:00+00:00;2019-12-27T00:15:00+00:00
3f9a0b4dcee000b02e221400;31;12;26;0;90;55;3;92;0;11;1;113;1;5;0;0;0.0;22;2019;15;101300;5;22;ISS;0.0;22.5;1;5;26/12;26/12/2019;22:15;2019-12-26T22:15:00;5.3;756688229376;2019-12-26T22:15:00+00:00;2019-12-26T22:15:00+01:00;2019-12-26T22:15:00+00:00;2019-12-26T22:15:00+00:00
3f9a0a0e5ac000b00e020c00;31;12;26;0;80;57;6;88;0;11;0;112;1;3;0;0;0.0;19;2019;45;101200;7;22;ISS;0.0;22.5;0;3;26/12;26/12/2019;19:45;2019-12-26T19:45:00;7.6;756149259264;2019-12-26T19:45:00+00:00;2019-12-26T19:45:00+01:00;2019-12-26T19:45:00+00:00;2019-12-26T19:45:00+00:00
3f9a098eceb809202e1a0c00;31;12;26;0;76;59;3;87;0;146;1;112;13;3;0;0;0.0;18;2019;45;101200;9;292;ISS;0.0;292.5;1;3;26/12;26/12/2019;18:45;2019-12-26T18:45:00;9.3;10033817062400;2019-12-26T18:45:00+00:00;2019-12-26T18:45:00+01:00;2019-12-26T18:45:00+00:00;2019-12-26T18:45:00+00:00
3f9a08ef0ea009202e1a0800;31;12;26;0;71;60;3;84;0;146;1;112;13;2;0;0;0.0;17;2019;30;101200;10;292;ISS;0.0;292.5;1;2;26/12;26/12/2019;17:30;2019-12-26T17:30:00;10.3;10033817061376;2019-12-26T17:30:00+00:00;2019-12-26T17:30:00+01:00;2019-12-26T17:30:00+00:00;2019-12-26T17:30:00+00:00
3f9907f0069002204d2a1800;31;12;25;0;63;64;1;82;0;34;2;105;5;6;0;0;0.0;15;2019;30;100500;14;68;ISS;0.0;112.5;2;6;25/12;25/12/2019;15:30;2019-12-25T15:30:00;14.1;2337756813312;2019-12-25T15:30:00+00:00;2019-12-25T15:30:00+01:00;2019-12-25T15:30:00+00:00;2019-12-25T15:30:00+00:00
3f9903af96d800000d7c0800;31;12;25;0;29;62;5;91;0;0;0;107;14;2;0;0;0.0;7;2019;0;100700;12;0;ISS;0.0;315.0;0;2;25/12;25/12/2019;7:0;2019-12-25T07:00:00;12.5;226232320;2019-12-25T07:00:00+00:00;2019-12-25T07:00:00+01:00;2019-12-25T07:00:00+00:00;2019-12-25T07:00:00+00:00
